Crossover Operator,Time Elapsed,Final Fitness,Num Iterations,Final Num Ingredients,Num Requirements Met,Num Requirements Unmet,Mutation Operator,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
,6.0896828174591064,36558.10604163531,,,,,Single Point,12719.25,500.0,724.0,3.0
,6.555670261383057,40509.70315126968,,,,,Single Point,10950.74999999998,500.0,806.0,2.0
,6.6870622634887695,48147.6502662418,,,,,Single Point,19018.50000000007,500.0,949.0,2.0
,2.2553114891052246,109395.46380546234,,,,,Single Point,37880.99999999999,187.0,2157.0,5.0
,6.220758438110352,57794.65684080538,,,,,Single Point,25189.5,500.0,1135.0,5.0
,5.678669691085815,67559.05765755622,,,,,Single Point,18199.49999999999,445.0,1341.0,7.0
,4.397295236587524,56019.492644191174,,,,,Single Point,20910.00000000003,321.0,1105.0,5.0
,6.688602447509766,19640.539444352875,,,,,Single Point,6493.500000000001,500.0,391.0,0.0
,4.737728595733643,86582.31299613653,,,,,Single Point,30158.25000000006,342.0,1708.0,4.0
,6.122016429901123,57106.685441933994,,,,,Single Point,22319.25000000001,441.0,1125.0,5.0
,6.600490570068359,60632.93523403378,,,,,Single Point,23067.749999999975,500.0,1195.0,6.0
,2.256574869155884,138915.38066022922,,,,,Single Point,50108.99999999987,177.0,2735.0,3.0
,5.4372968673706055,65594.97782387635,,,,,Single Point,30454.49999999998,432.0,1285.0,4.0
,6.242089748382568,43445.4576763992,,,,,Single Point,15514.500000000018,500.0,859.0,2.0
,3.62581729888916,66537.51774071627,,,,,Uniform,23734.500000000004,292.0,1313.0,4.0
,4.373292446136475,51377.866107907634,,,,,Uniform,19806.750000000036,329.0,1013.0,5.0
,6.287358999252319,43292.70459007111,,,,,Uniform,15457.500000000002,500.0,856.0,2.0
,3.377979040145874,85970.34303771656,,,,,Uniform,31407.750000000033,262.0,1694.0,2.0
,2.6458561420440674,64686.03070477924,,,,,Uniform,22779.75000000004,206.0,1277.0,5.0
,3.2504098415374756,76020.62720017572,,,,,Uniform,30403.499999999978,235.0,1495.0,7.0
,4.598201036453247,43678.31076272728,,,,,Uniform,16772.999999999996,294.0,862.0,3.0
,4.249274253845215,57910.062602611135,,,,,Uniform,38839.49999999995,325.0,1119.0,4.0
,5.647390604019165,46234.911172752705,,,,,Uniform,18628.50000000003,431.0,911.0,4.0
,4.671144485473633,55258.81054588409,,,,,Uniform,20673.750000000087,357.0,1090.0,5.0
,6.438811302185059,39461.29379697307,,,,,Uniform,10859.249999999996,486.0,785.0,1.0
,5.825826168060303,47168.93380582533,,,,,Uniform,16253.999999999985,456.0,933.0,5.0
,3.700753927230835,67154.81630026484,,,,,Uniform,30014.250000000036,289.0,1317.0,6.0
,6.626056909561157,47222.525575617095,,,,,Uniform,23015.999999999967,500.0,925.0,7.0
,3.481611728668213,63486.72720760073,,,,,Uniform,23413.499999999953,274.0,1252.0,8.0
,4.696049451828003,73661.71732491585,,,,,Uniform,26306.99999999995,354.0,1453.0,3.0
,2.3941965103149414,94380.51113988466,,,,,Uniform,39860.99999999999,188.0,1852.0,5.0
,5.22314453125,60871.43379358232,,,,,Uniform,23665.500000000015,405.0,1199.0,7.0
,2.420311689376831,83187.137483811,,,,,Uniform,29886.000000000036,193.0,1640.0,4.0
,6.684753656387329,52761.994913636445,,,,,Uniform,19715.249999999938,500.0,1041.0,4.0
,2.7497713565826416,76251.53789961143,,,,,Uniform,30142.5,189.0,1500.0,7.0
