Penalty Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
10,6.674289226531982,29042.198754007033,10919.250000000007,300,575,2
10,6.570611000061035,30724.548121280895,10860.749999999975,300,609,2
10,6.625495433807373,29626.81459732287,12251.250000000005,300,585,1
10,6.6308982372283936,28149.711820370092,10175.250000000013,300,558,1
10,7.4288716316223145,28242.374989033266,10077.750000000007,300,560,1
10,7.330064535140991,26862.750231090988,13925.250000000005,300,527,2
10,9.396913528442383,35640.46704844981,14618.999999999982,300,703,4
10,7.780808687210083,30448.21386229664,13415.999999999987,300,600,4
10,7.197901964187622,33473.42209085487,12636.750000000002,300,662,2
10,7.294260740280151,30822.234952617724,13815.000000000002,300,607,2
10,8.34715223312378,27960.95642371217,11062.500000000004,300,553,1
10,7.140646696090698,31114.774458607233,13736.250000000002,300,613,1
10,7.262751817703247,30028.835687643965,13075.50000000002,300,592,3
10,6.965259790420532,31244.132380265157,11954.250000000011,300,618,4
10,7.183573246002197,31491.10871759149,12681.000000000015,300,622,4
20,7.234956741333008,26261.88625010148,9266.999999999975,300,521,3
20,7.152145862579346,28687.738379918654,15198.749999999993,300,562,3
20,7.014213562011719,31302.523020152297,12046.499999999995,300,619,3
20,7.152522325515747,29574.182926663205,14380.499999999987,300,581,3
20,7.118252515792847,30940.988761168035,13322.999999999998,300,610,2
20,7.567424058914185,31837.559336688613,11883.75000000002,300,630,2
20,7.106957674026489,31773.58125036053,13157.249999999987,300,627,1
20,7.192181348800659,29805.415128095407,12648.749999999985,300,588,4
20,7.214543104171753,28898.97058135086,13167.000000000031,300,569,1
20,7.204785108566284,29276.75689788717,10661.999999999982,300,580,2
20,7.358824729919434,29239.204840335115,11584.50000000001,300,578,1
20,7.169910192489624,30020.645271975543,12162.750000000015,300,593,2
20,6.978808641433716,27846.746084606304,11498.250000000005,300,550,2
20,7.044501781463623,29171.198667678946,15021.750000000045,300,572,2
20,7.288652181625366,33178.23608486536,12639.749999999975,300,656,2
20,7.153464317321777,31514.325077704354,13734.750000000005,300,621,3
20,7.291890859603882,30441.306559735833,11038.499999999976,300,603,3
20,7.152362108230591,27693.90402705425,10691.249999999993,300,548,3
