Elite Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
1,7.695444583892822,42777.54121598275,17411.99999999999,300,843,3
1,7.740339040756226,45265.39059723212,18981.00000000007,300,891,2
1,7.645010471343994,42514.93710087863,16452.00000000004,300,839,3
1,7.616430044174194,44882.48133824786,19940.249999999956,300,882,4
1,7.709619522094727,43578.0076763992,17502.750000000004,300,859,5
1,7.6778130531311035,43027.94635986288,17444.24999999998,300,848,3
1,7.615240573883057,45082.88442457595,20711.999999999978,300,885,5
1,7.629586219787598,48378.10541012193,18751.500000000062,300,954,3
1,7.697577238082886,42182.228870670406,17419.500000000007,300,831,3
1,7.614864349365234,45117.88956845609,17513.249999999927,300,890,4
1,7.680086851119995,42534.185043326564,18230.25000000002,300,837,3
1,7.647010326385498,46345.06323030475,18791.249999999978,300,913,4
1,7.66461968421936,46721.62351806505,16991.999999999975,300,923,3
1,7.571477651596069,45925.7008849924,21438.000000000022,300,901,3
1,7.599846124649048,42801.944302310825,15543.750000000031,300,846,2
1,7.838284969329834,45208.43648212801,21105.74999999998,300,887,4
1,7.819743394851685,47215.63380582534,16954.500000000004,300,933,4
1,7.75642728805542,42063.12578434231,17867.25000000001,300,828,4
1,7.740870952606201,45371.292654784185,19079.999999999978,300,893,2
1,7.632330417633057,48184.45335256988,17336.249999999967,300,952,4
1,7.758182525634766,47948.83792092945,24973.499999999956,300,937,4
1,7.615399360656738,42671.29121598275,15818.249999999996,300,843,3
1,7.6315016746521,41692.87064046216,16037.249999999995,300,823,4
1,7.636504650115967,45243.643683560214,16420.500000000004,300,894,4
1,7.875394344329834,46313.81117275271,19812.000000000022,300,911,5
1,7.553193092346191,45502.7967698883,18073.500000000025,300,897,3
1,7.835687160491943,38203.88896246823,13585.49999999998,300,756,2
1,7.711681127548218,45928.0039713205,19238.25000000002,300,904,4
1,7.567459583282471,45461.09265478419,20426.99999999998,300,893,5
1,7.693440675735474,43800.21384905537,16367.250000000022,300,865,4
1,7.572011947631836,49904.387302178824,18558.000000000044,300,985,4
1,7.788000583648682,43469.303561295084,18851.250000000025,300,855,3
1,7.689094066619873,46806.372489289,19007.99999999998,300,922,4
1,7.6323018074035645,46275.464259080785,17002.5,300,914,4
1,7.676725625991821,46111.50911520064,18267.00000000001,300,909,4
1,7.632141828536987,46568.81528785681,20658.0,300,915,5
1,7.742151975631714,49493.473928090454,22076.24999999997,300,972,4
1,7.694310903549194,43796.062820279345,17049.749999999996,300,864,4
2,7.365973472595215,42109.879899446416,15589.500000000016,300,832,5
2,7.316553831100464,43476.054590071115,18207.750000000004,300,856,5
2,7.319202423095703,40502.108199837465,16050.000000000027,300,799,3
2,7.270803451538086,40568.63217106144,17792.24999999999,300,798,4
2,7.364424467086792,43077.046359862885,18180.75000000005,300,848,4
2,7.315982341766357,45431.59059723212,21473.999999999993,300,891,3
2,7.254900693893433,41579.669611686135,15084.00000000003,300,822,3
2,7.270283460617065,42590.488129654645,16840.49999999999,300,840,4
2,7.412099838256836,43450.75459007112,17828.25000000006,300,856,2
2,7.302030801773071,41787.421669238196,16710.75000000002,300,824,3
2,7.39709734916687,40057.22394085321,16076.250000000027,300,790,3
2,7.2382824420928955,40139.42805595732,14331.74999999999,300,794,2
2,7.36428689956665,43906.865906607425,16477.49999999997,300,867,3
2,7.270819425582886,39901.14585452513,15968.250000000035,300,787,3
2,7.238124847412109,40728.14903616556,17206.500000000025,300,802,3
2,7.205522775650024,42887.43710087863,22039.499999999956,300,839,4
2,7.333756685256958,42444.084014550535,17623.500000000004,300,836,3
2,7.646103858947754,44597.12825191977,17894.249999999993,300,879,4
2,7.428997278213501,42210.72887067039,17847.000000000015,300,831,3
2,7.284486293792725,43209.200474966994,17183.999999999967,300,852,5
2,7.334920644760132,36400.075897755174,14070.749999999985,300,719,3
2,7.316965579986572,43652.857676399195,18625.49999999998,300,859,5
2,7.333368539810181,43694.01282027934,15519.000000000033,300,864,2
2,7.378667831420898,39491.11365309292,15028.500000000018,300,780,3
2,7.268577575683594,42643.13915843068,16885.500000000044,300,841,4
2,7.276838779449463,44082.81796415949,17627.25000000001,300,869,2
2,7.889312982559204,41467.7685829101,14150.249999999978,300,821,3
2,7.332422256469727,39778.943796973064,15624.000000000022,300,785,4
2,7.537595748901367,36871.55809918737,15932.249999999967,300,726,3
2,7.28087306022644,44079.51899293551,16833.000000000007,300,870,5
2,7.396024942398071,41327.762410253934,16518.750000000036,300,815,4
2,7.317214488983154,39056.553365332635,15953.999999999998,300,770,3
2,7.36213231086731,41357.410352701874,18452.999999999975,300,813,3
2,7.331311464309692,45771.551913768446,18381.000000000025,300,902,3
2,7.4791343212127686,39851.76982574911,15971.999999999965,300,786,3
2,7.315667629241943,41639.716525358046,18218.99999999999,300,819,2
2,7.300491094589233,39313.509537988815,15342.000000000031,300,776,2
2,7.302539587020874,42720.99018720671,17308.500000000022,300,842,3
2,7.3786420822143555,38192.984847364125,16399.49999999996,300,752,4
2,7.302634954452515,34742.39297692225,13025.999999999976,300,687,1
2,7.397021055221558,39142.55748043675,14266.50000000004,300,774,4
2,7.175764083862305,40866.75315126967,16306.500000000013,300,806,3
2,7.316336154937744,41468.61241025393,18631.49999999997,300,815,3
2,7.3341615200042725,43462.904590071106,18010.5,300,856,4
2,7.331898927688599,40808.99800738953,19163.999999999953,300,801,4
2,7.252937316894531,41259.46241025393,15494.250000000018,300,815,2
2,7.347668647766113,41178.65932392585,16516.499999999978,300,812,3
2,7.3018574714660645,41610.11755413408,17030.249999999956,300,820,3
2,7.255549907684326,40801.6541800457,14585.249999999995,300,807,3
2,7.334922552108765,40544.57599840527,21897.749999999985,300,792,3
4,7.13727331161499,35569.1094373387,13516.500000000005,300,703,1
4,6.996995449066162,39611.16159554086,18317.999999999967,300,778,4
4,7.079692602157593,36129.1416387709,16706.250000000007,300,710,3
4,7.081048011779785,36847.460156739435,14081.99999999998,300,728,3
4,7.000355243682861,34897.41900569828,14607.00000000001,300,688,2
4,6.98608660697937,38541.54102002029,17161.499999999964,300,758,4
4,6.985526084899902,33718.096372625645,13293.749999999973,300,666,3
4,6.969633102416992,36490.54986897914,16172.249999999955,300,718,3
4,7.3469414710998535,38106.30676103603,17332.499999999964,300,749,2
4,7.002618074417114,36242.44369632297,16917.000000000004,300,712,3
4,7.034261465072632,38503.843077572354,15107.25000000001,300,760,4
4,7.09592866897583,35815.91355244283,14240.999999999987,300,707,2
4,7.018784046173096,35968.71560999488,15044.250000000044,300,709,3
4,7.1451475620269775,35318.62517835444,16458.749999999975,300,694,2
4,6.955796003341675,39783.01776819704,16429.49999999998,300,784,4
4,6.956130027770996,37550.09647327574,16433.25,300,739,3
4,7.004525661468506,36428.1519265312,13747.50000000002,300,720,4
4,7.270284175872803,35928.13958121885,15180.000000000002,300,708,4
4,7.034394979476929,36887.30604163531,17657.25000000005,300,724,3
4,7.1709325313568115,38867.26910634837,19814.249999999985,300,761,3
4,6.907500505447388,32545.347710776983,12823.499999999989,300,643,1
4,6.988052845001221,34531.16283304211,13579.500000000024,300,682,3
4,7.026482582092285,35054.8731208024,13991.250000000027,300,692,3
4,7.034567832946777,37437.8985308278,13261.500000000002,300,741,4
4,6.985186338424683,36277.94986897914,12983.250000000024,300,718,3
4,7.033404588699341,33121.95799853727,14028.749999999978,300,653,1
4,6.983842611312866,36652.880012859285,14885.249999999984,300,723,2
4,7.002728462219238,34967.69914957842,11939.24999999999,300,693,3
4,7.066395282745361,33825.12240140167,14154.750000000002,300,667,2
4,7.065532684326172,36926.2841279634,16008.750000000013,300,727,1
4,7.017279386520386,34442.660775490054,13740.749999999998,300,680,3
4,6.970833778381348,36641.85604163531,13975.500000000004,300,724,4
4,7.01697564125061,38129.93484736412,15453.750000000035,300,752,4
4,6.954582929611206,37135.364271843544,15423.000000000018,300,732,5
4,6.980098724365234,35369.153264682536,14983.500000000016,300,697,4
4,7.059482097625732,40014.47394085321,15434.999999999958,300,790,5
4,7.018506288528442,38522.410876140144,20596.500000000015,300,753,3
4,7.033508062362671,36698.40398408326,16312.499999999985,300,722,4
4,6.97018575668335,31603.5052215845,11350.500000000004,300,626,0
4,7.049516201019287,35212.42517835445,14865.749999999982,300,694,4
4,6.9709861278533936,36140.02178265105,13147.500000000004,300,715,3
4,7.069993734359741,38057.13484736412,14361.749999999969,300,752,1
4,6.954415559768677,39113.60542288469,15320.999999999987,300,772,3
4,7.081028699874878,33455.61417119345,14567.249999999985,300,659,3
4,6.938903093338013,38154.76087614014,15081.74999999999,300,753,3
4,7.064576864242554,36437.87384020311,16126.500000000016,300,717,3
4,6.892292499542236,33964.378574057846,11777.24999999999,300,673,3
4,7.0199480056762695,35679.78135101062,17409.749999999975,300,700,2
4,6.908148527145386,36714.35809918737,13574.250000000031,300,726,3
4,7.063995122909546,35291.003264682535,13811.250000000013,300,697,2
8,6.3798980712890625,27009.488595413826,11567.249999999969,300,533,1
8,6.6281468868255615,28935.848667678943,11491.499999999985,300,572,4
8,6.458551645278931,28931.372638902914,12167.249999999964,300,571,2
8,6.4370276927948,28053.28019971043,11624.999999999998,300,554,2
8,6.484491348266602,29906.993214423488,11943.749999999973,300,591,1
8,6.516100883483887,29618.11101299129,12810.750000000024,300,584,2
8,6.373747825622559,27955.330199710424,10155.749999999985,300,554,1
8,6.386664867401123,29905.94115687143,13413.749999999965,300,589,1
8,6.341190814971924,29667.065128095408,10573.49999999997,300,588,2
8,6.468182563781738,30547.354502183774,14118.000000000024,300,601,4
8,6.390714883804321,28944.348667678943,11619.000000000016,300,572,1
8,6.501755475997925,23883.783150091578,11475.75,300,470,2
8,6.451786041259766,30527.906559735835,12337.499999999989,300,603,4
