Initialization Method,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Random,14.804578065872192,37993.10676103603,15634.499999999989,500,749,2
Random,15.912505388259888,35891.91560999488,13892.249999999998,500,709,2
Random,21.599369525909424,36042.31766754694,14659.500000000004,500,711,2
Random,16.611620664596558,39025.00542288469,13991.999999999985,500,772,3
Random,19.68541979789734,42165.52989944641,16424.25000000005,500,832,3
Random,24.825462818145752,38715.47322145249,14559.75000000003,500,765,4
Random,17.48296594619751,36586.003984083254,14626.500000000015,500,722,3
Random,16.349589109420776,43383.702532519055,18312.000000000015,500,854,3
Random,16.990996837615967,40791.90109371763,16673.24999999997,500,804,6
Random,21.578761339187622,35976.51560999488,15161.250000000005,500,709,4
Latin Hypercube,16.410173177719116,38393.68690491618,17921.250000000025,500,754,3
Latin Hypercube,14.484880208969116,37818.83073226,13764.749999999993,500,748,4
Latin Hypercube,14.233076572418213,38685.94719267646,14861.249999999987,500,764,4
Latin Hypercube,15.124940872192383,39329.45953798881,15581.249999999993,500,776,3
Latin Hypercube,16.25854778289795,41762.37372679024,14845.500000000018,500,826,3
Latin Hypercube,17.381713390350342,37191.966329395604,14783.249999999989,500,734,3
Latin Hypercube,14.662652492523193,39136.95542288469,15671.249999999955,500,772,3
Latin Hypercube,14.332695245742798,34924.3450344743,14266.500000000035,500,689,3
Latin Hypercube,16.489319562911987,43077.900474967,15214.500000000035,500,852,3
Latin Hypercube,15.179728746414185,43977.268992935504,15299.24999999996,500,870,3
Latin Hypercube,14.219692945480347,41903.02475556627,16210.499999999984,500,827,3
Latin Hypercube,15.012410640716553,38753.59307757235,18853.500000000004,500,760,4
Latin Hypercube,19.16701054573059,38215.96293369221,14511.000000000036,500,755,4
Latin Hypercube,16.560336351394653,40805.7541800457,14646.750000000007,500,807,3
Latin Hypercube,15.273882389068604,41654.020640462164,15454.500000000005,500,823,4
Latin Hypercube,15.27067494392395,37593.25058837986,14102.99999999999,500,743,3
Latin Hypercube,15.533212900161743,39795.16982574909,15122.999999999987,500,786,2
Latin Hypercube,15.385766744613647,39868.72188330116,14737.500000000004,500,788,4
Latin Hypercube,16.232837915420532,39891.74791207719,14338.500000000005,500,789,4
Latin Hypercube,16.231420755386353,40417.306142285415,16266.750000000002,500,797,3
Latin Hypercube,15.04632019996643,37533.77455960383,13955.249999999964,500,742,2
Latin Hypercube,15.643736600875854,42156.42989944642,16287.750000000025,500,832,4
Latin Hypercube,14.76993727684021,41646.7685829101,16835.250000000047,500,821,3
Latin Hypercube,13.974976301193237,41416.8685829101,13386.749999999995,500,821,3
Latin Hypercube,15.137178182601929,36550.67589775518,16329.750000000004,500,719,4
Latin Hypercube,14.653077125549316,35011.82312080239,13345.499999999996,500,692,5
Latin Hypercube,12.951605081558228,41898.074755566275,16136.250000000007,500,827,4
Latin Hypercube,13.496997833251953,35862.961494890755,16435.500000000022,500,705,3
Latin Hypercube,14.510719537734985,40801.402122493644,16071.000000000005,500,805,3
Latin Hypercube,15.998966693878174,44251.571050487575,17924.250000000015,500,872,3
Latin Hypercube,16.147172212600708,37054.114271843544,14204.249999999976,500,732,2
Latin Hypercube,15.24157452583313,39615.765710644984,15409.499999999984,500,782,2
Latin Hypercube,15.360631227493286,37224.64030061957,16017.750000000013,500,733,4
Latin Hypercube,18.501087427139282,40517.2469786135,15532.499999999989,500,800,3
Latin Hypercube,18.314751625061035,39749.569825749095,14438.99999999999,500,786,3
Latin Hypercube,14.693857431411743,42903.64635986289,15579.749999999985,500,848,2
Latin Hypercube,15.904080390930176,40714.29903616556,16998.749999999978,500,802,2
Latin Hypercube,14.231396675109863,40724.9969786135,18648.750000000025,500,800,3
