Crossover Operator,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Single Point,2.8442025184631348,43366.10356129508,17303.25000000002,300,855,3
Single Point,2.6628990173339844,40937.20520882173,15873.749999999989,300,808,3
Single Point,2.8166630268096924,40950.303151269676,17559.75000000002,300,806,4
Single Point,2.860119342803955,43419.20664762316,15865.500000000022,300,858,4
Single Point,2.9361438751220703,45008.93853968006,16623.750000000004,300,889,3
Single Point,3.102234125137329,40236.2520271813,16528.499999999978,300,793,3
Single Point,3.2234344482421875,45018.837510904035,17517.000000000044,300,888,3
Single Point,3.719101667404175,40362.72805595733,17681.24999999999,300,794,3
Single Point,3.4955735206604004,40194.17805595732,15153.000000000015,300,794,4
Single Point,3.0429131984710693,41268.46343902997,14884.499999999998,300,816,5
Single Point,3.1389622688293457,39982.545854525124,17189.24999999997,300,787,3
Uniform,3.184154748916626,44657.78236702389,15825.000000000007,300,883,2
Uniform,3.2296271324157715,47492.33792092945,18125.999999999996,300,937,2
Uniform,3.174992561340332,42461.08195699848,19367.999999999975,300,834,2
Uniform,3.117475986480713,43958.26590660743,17248.500000000004,300,867,5
Uniform,3.1650798320770264,43745.05561884714,21498.00000000001,300,857,5
Uniform,3.2332639694213867,41972.32372679025,17994.75,300,826,3
Uniform,3.130056381225586,39924.76365309292,21533.25000000001,300,780,3
Uniform,3.2453763484954834,43689.01076272728,16933.499999999975,300,862,3
Uniform,2.9509329795837402,46623.52043173696,17754.74999999997,300,920,3
Uniform,3.0448036193847656,47170.38071949724,18509.999999999967,300,930,2
Uniform,3.1037440299987793,42568.888129654646,16516.50000000001,300,840,2
Uniform,3.1399059295654297,44257.272079263596,17265.000000000044,300,873,4
Uniform,3.16510009765625,44132.468992935515,17627.25000000004,300,870,6
Uniform,3.1153790950775146,45872.79985621638,21389.24999999998,300,900,4
Uniform,3.298154830932617,48276.35026624179,20949.000000000022,300,949,4
Uniform,3.1039512157440186,47298.27969072122,21173.249999999993,300,929,3
Uniform,3.096203088760376,42568.88607210259,18006.00000000001,300,838,3
Uniform,3.049497604370117,46273.810143976654,19956.750000000004,300,910,4
Uniform,3.0455374717712402,43324.802532519054,17428.5,300,854,4
Uniform,3.007403612136841,45115.087510904035,18960.74999999998,300,888,2
Uniform,3.1427204608917236,44952.83236702389,20250.750000000036,300,883,3
Uniform,3.194859027862549,45707.49574111227,21888.749999999967,300,896,4
Uniform,3.0315263271331787,39285.05748043675,16403.999999999985,300,774,6
Uniform,3.1148455142974854,46019.10808642462,17625.749999999993,300,908,4
Uniform,3.02567195892334,45215.99265478418,16750.499999999978,300,893,3
Uniform,3.071105718612671,46673.62146051298,17761.50000000001,300,921,4
Uniform,3.3491225242614746,45401.09265478418,19527.000000000036,300,893,3
Uniform,3.0578627586364746,43209.80047496699,17193.00000000003,300,852,4
Uniform,2.9888765811920166,41798.020640462164,17614.50000000001,300,823,3
Uniform,2.974656581878662,46650.56734540887,20394.749999999996,300,917,4
Uniform,3.898970365524292,47123.63071949724,17808.749999999985,300,930,3
Uniform,3.2506539821624756,45289.091626008136,18591.74999999999,300,892,2
Uniform,3.192443370819092,44011.01179150332,21018.749999999985,300,863,4
Uniform,3.122741937637329,45650.40088499241,17308.500000000004,300,901,3
Uniform,3.0486369132995605,43421.654590071106,17391.749999999978,300,856,6
Uniform,3.2296242713928223,45784.344712336235,23786.249999999985,300,895,3
Uniform,3.0160837173461914,46694.52146051299,18075.0,300,921,2
Uniform,2.9733927249908447,44584.9720792636,22180.50000000004,300,873,2
Uniform,3.1056692600250244,48136.75026624179,18854.999999999996,300,949,4
